	mass_A
t	frame	x	y	r	θ	pixelx	pixely
2.364000E0	4.728000E3	2.103391E0	1.154411E0	2.399358E0	2.875945E1	1.128122E2	6.397915E1
2.366000E0	4.732000E3	2.069810E0	1.051468E0	2.321572E0	2.693067E1	1.128233E2	6.386737E1
2.368000E0	4.736000E3	1.969119E0	1.004093E0	2.210347E0	2.701795E1	1.127467E2	6.373316E1
2.370000E0	4.740000E3	2.166156E0	1.267171E0	2.509573E0	3.032704E1	1.127853E2	6.328420E1
2.372000E0	4.744000E3	2.126145E0	1.118186E0	2.402256E0	2.774087E1	1.128001E2	6.309477E1
2.374000E0	4.748000E3	2.079098E0	1.030136E0	2.320308E0	2.635715E1	1.128240E2	6.293878E1
2.376000E0	4.752000E3	2.059058E0	9.712704E-1	2.276639E0	2.525355E1	1.127965E2	6.281111E1
2.378000E0	4.756000E3	1.944491E0	9.356564E-1	2.157892E0	2.569608E1	1.127207E2	6.268775E1
2.380000E0	4.760000E3	2.170422E0	1.217164E0	2.488418E0	2.928354E1	1.127448E2	6.226081E1
2.382000E0	4.764000E3	2.110837E0	1.101418E0	2.380915E0	2.755520E1	1.127499E2	6.204060E1
2.384000E0	4.768000E3	2.067321E0	1.029399E0	2.309433E0	2.647050E1	1.127666E2	6.188409E1
2.386000E0	4.772000E3	1.941455E0	9.817605E-1	2.175569E0	2.682494E1	1.126650E2	6.173633E1
2.388000E0	4.776000E3	2.179904E0	1.256784E0	2.516245E0	2.996482E1	1.126944E2	6.130070E1
2.390000E0	4.780000E3	2.104295E0	1.108822E0	2.378559E0	2.778623E1	1.127115E2	6.108913E1
2.392000E0	4.784000E3	2.042474E0	1.024513E0	2.285022E0	2.663853E1	1.126980E2	6.095738E1
2.394000E0	4.788000E3	2.014658E0	9.637114E-1	2.233290E0	2.556412E1	1.127037E2	6.082395E1
2.396000E0	4.792000E3	1.879961E0	9.326195E-1	2.098579E0	2.638530E1	1.125820E2	6.070074E1
2.398000E0	4.796000E3	2.670266E1	4.753147E0	2.712239E1	1.009309E1	1.126135E2	6.026596E1
2.400000E0	4.800000E3	2.670790E1	4.978014E0	2.716786E1	1.055806E1	1.126187E2	6.004109E1
2.402000E0	4.804000E3	2.670024E1	5.083104E0	2.717979E1	1.077880E1	1.126111E2	5.993600E1
2.404000E0	4.808000E3	2.669465E1	5.226624E0	2.720151E1	1.107797E1	1.126055E2	5.979248E1
2.406000E0	4.812000E3	2.661050E1	5.362912E0	2.714553E1	1.139440E1	1.125213E2	5.965620E1
2.408000E0	4.816000E3	2.661825E1	5.806683E0	2.724424E1	1.230609E1	1.125291E2	5.921242E1
2.410000E0	4.820000E3	2.662818E1	5.991763E0	2.729398E1	1.268125E1	1.125390E2	5.902735E1
2.412000E0	4.824000E3	2.659943E1	6.121223E0	2.729467E1	1.295963E1	1.125103E2	5.889789E1
2.414000E0	4.828000E3	2.650163E1	6.259343E0	2.723079E1	1.328899E1	1.124125E2	5.875977E1
2.416000E0	4.832000E3	2.652208E1	6.713980E0	2.735870E1	1.420581E1	1.124329E2	5.830513E1
2.418000E0	4.836000E3	2.651573E1	6.903989E0	2.739980E1	1.459425E1	1.124266E2	5.811512E1
2.420000E0	4.840000E3	2.650887E1	7.038483E0	2.742737E1	1.486975E1	1.124197E2	5.798063E1
2.422000E0	4.844000E3	2.650134E1	7.160417E0	2.745164E1	1.511976E1	1.124122E2	5.785869E1
2.424000E0	4.848000E3	2.636216E1	7.300634E0	2.735439E1	1.547933E1	1.122730E2	5.771847E1
2.426000E0	4.852000E3	2.639461E1	7.726818E0	2.750235E1	1.631698E1	1.123054E2	5.729229E1
2.428000E0	4.856000E3	2.639894E1	7.915353E0	2.756006E1	1.669062E1	1.123098E2	5.710376E1
2.430000E0	4.860000E3	2.637470E1	8.084434E0	2.758591E1	1.704147E1	1.122855E2	5.693467E1
2.432000E0	4.864000E3	2.636023E1	8.200589E0	2.760636E1	1.728076E1	1.122711E2	5.681852E1
2.434000E0	4.868000E3	2.625617E1	8.306771E0	2.753886E1	1.755602E1	1.121670E2	5.671234E1
2.436000E0	4.872000E3	2.625193E1	8.736542E0	2.766751E1	1.840725E1	1.121628E2	5.628257E1
2.438000E0	4.876000E3	2.624753E1	8.923560E0	2.772297E1	1.877686E1	1.121584E2	5.609555E1
2.440000E0	4.880000E3	2.623593E1	9.084261E0	2.776414E1	1.909855E1	1.121468E2	5.593485E1
2.442000E0	4.884000E3	2.621843E1	9.205815E0	2.778764E1	1.934720E1	1.121293E2	5.581329E1
2.444000E0	4.888000E3	2.602248E1	9.446755E0	2.768412E1	1.995205E1	1.119333E2	5.557235E1
2.446000E0	4.892000E3	2.574435E1	9.817849E0	2.755289E1	2.087482E1	1.116552E2	5.520126E1
2.448000E0	4.896000E3	2.564414E1	9.982796E0	2.751869E1	2.127005E1	1.115550E2	5.503631E1
2.450000E0	4.900000E3	2.556165E1	1.011821E1	2.749138E1	2.159542E1	1.114725E2	5.490090E1
2.452000E0	4.904000E3	2.553025E1	1.024172E1	2.750793E1	2.185869E1	1.114411E2	5.477739E1
2.454000E0	4.908000E3	2.540017E1	1.036950E1	2.743529E1	2.220750E1	1.113110E2	5.464961E1
2.456000E0	4.912000E3	2.539534E1	1.078973E1	2.759242E1	2.301920E1	1.113062E2	5.422938E1
2.458000E0	4.916000E3	2.538896E1	1.098026E1	2.766162E1	2.338760E1	1.112998E2	5.403885E1
2.460000E0	4.920000E3	2.536513E1	1.112749E1	2.769857E1	2.368670E1	1.112760E2	5.389162E1
2.462000E0	4.924000E3	2.533327E1	1.124122E1	2.771533E1	2.392847E1	1.112441E2	5.377788E1
2.464000E0	4.928000E3	2.517438E1	1.135340E1	2.761610E1	2.427491E1	1.110852E2	5.366571E1
2.466000E0	4.932000E3	2.520946E1	1.176742E1	2.782066E1	2.502251E1	1.111203E2	5.325169E1
2.468000E0	4.936000E3	2.517195E1	1.198803E1	2.788082E1	2.546592E1	1.110828E2	5.303108E1
2.470000E0	4.940000E3	2.515481E1	1.211534E1	2.792035E1	2.571691E1	1.110656E2	5.290377E1
2.472000E0	4.944000E3	2.495902E1	1.235914E1	2.785141E1	2.634357E1	1.108698E2	5.265997E1
2.474000E0	4.948000E3	2.467024E1	1.274859E1	2.776954E1	2.732811E1	1.105811E2	5.227052E1
2.476000E0	4.952000E3	2.453424E1	1.292799E1	2.773197E1	2.778638E1	1.104451E2	5.209112E1
2.478000E0	4.956000E3	2.445406E1	1.307516E1	2.773014E1	2.813264E1	1.103649E2	5.194395E1
2.480000E0	4.960000E3	2.440952E1	1.317838E1	2.773976E1	2.836404E1	1.103203E2	5.184072E1
2.482000E0	4.964000E3	2.425704E1	1.327900E1	2.765386E1	2.869756E1	1.101679E2	5.174011E1
2.484000E0	4.968000E3	2.424829E1	1.371910E1	2.786024E1	2.950013E1	1.101591E2	5.130001E1
2.486000E0	4.972000E3	2.420367E1	1.393325E1	2.792764E1	2.992761E1	1.101145E2	5.108586E1
2.488000E0	4.976000E3	2.415772E1	1.406762E1	2.795520E1	3.021326E1	1.100685E2	5.095149E1
2.490000E0	4.980000E3	2.399582E1	1.428928E1	2.792817E1	3.077339E1	1.099066E2	5.072983E1
