	mass_A
t	frame	x	y	r	θ	ω	pixelx	pixely
1.692000E0	3.384000E3	-2.179687E1	1.891389E1	2.885895E1	1.390507E2	6.885138E2	6.757892E1	4.590140E1
1.696000E0	3.392000E3	-2.271288E1	1.785331E1	2.888972E1	1.418311E2	7.021096E2	6.666291E1	4.696198E1
1.700000E0	3.400000E3	-2.362411E1	1.674687E1	2.895784E1	1.446676E2	7.078009E2	6.575168E1	4.806841E1
1.704000E0	3.408000E3	-2.452061E1	1.562524E1	2.907591E1	1.474935E2	7.049966E2	6.485519E1	4.919004E1
1.708000E0	3.416000E3	-2.538209E1	1.447325E1	2.921858E1	1.503076E2	6.988055E2	6.399371E1	5.034204E1
1.712000E0	3.424000E3	-2.621923E1	1.331100E1	2.940460E1	1.530840E2	7.143485E2	6.315657E1	5.150429E1
1.716000E0	3.432000E3	-2.692825E1	1.197664E1	2.947153E1	1.560224E2	7.325225E2	6.244754E1	5.283864E1
1.720000E0	3.440000E3	-2.756430E1	1.061178E1	2.953643E1	1.589442E2	7.256512E2	6.181150E1	5.420350E1
1.724000E0	3.448000E3	-2.822589E1	9.265156E0	2.970764E1	1.618276E2	7.312803E2	6.114991E1	5.555013E1
1.728000E0	3.456000E3	-2.873150E1	7.809196E0	2.977386E1	1.647944E2	7.429431E2	6.064429E1	5.700609E1
1.732000E0	3.464000E3	-2.924288E1	6.337972E0	2.992183E1	1.677711E2	7.535141E2	6.013292E1	5.847731E1
1.736000E0	3.472000E3	-2.959678E1	4.781701E0	2.998056E1	1.708225E2	7.921295E2	5.977902E1	6.003359E1
1.740000E0	3.480000E3	-2.978164E1	3.073356E0	2.993980E1	1.741081E2	8.157870E2	5.959415E1	6.174193E1
1.744000E0	3.488000E3	-3.000528E1	1.389399E0	3.003743E1	1.773488E2	8.006070E2	5.937052E1	6.342589E1
1.748000E0	3.496000E3	-2.996882E1	-2.683335E-1	2.997002E1	1.805130E2	7.966734E2	5.940698E1	6.508362E1
1.752000E0	3.504000E3	-2.983995E1	-1.941268E0	2.990303E1	1.837222E2	8.223943E2	5.953585E1	6.675656E1
1.756000E0	3.512000E3	-2.978101E1	-3.705279E0	3.001063E1	1.870922E2	8.139489E2	5.959479E1	6.852057E1
1.760000E0	3.520000E3	-2.950392E1	-5.326554E0	2.998089E1	1.902338E2	7.994872E2	5.987188E1	7.014184E1
1.764000E0	3.528000E3	-2.919034E1	-7.001542E0	3.001829E1	1.934881E2	8.410344E2	6.018546E1	7.181683E1
1.768000E0	3.536000E3	-2.889369E1	-8.812768E0	3.020778E1	1.969621E2	8.324747E2	6.048211E1	7.362805E1
1.772000E0	3.544000E3	-2.829672E1	-1.038193E1	3.014115E1	2.001478E2	8.342476E2	6.107907E1	7.519722E1
1.776000E0	3.552000E3	-2.765838E1	-1.210437E1	3.019109E1	2.036360E2	8.721251E2	6.171741E1	7.691966E1
1.780000E0	3.560000E3	-2.694222E1	-1.380178E1	3.027164E1	2.071248E2	8.714451E2	6.243357E1	7.861707E1
1.784000E0	3.568000E3	-2.591087E1	-1.532829E1	3.010531E1	2.106076E2	8.892601E2	6.346493E1	8.014357E1
1.788000E0	3.576000E3	-2.483947E1	-1.690557E1	3.004659E1	2.142389E2	9.123809E2	6.453632E1	8.172086E1
1.792000E0	3.584000E3	-2.374598E1	-1.849017E1	3.009582E1	2.179066E2	9.060041E2	6.562981E1	8.330546E1
1.796000E0	3.592000E3	-2.250791E1	-1.990419E1	3.004634E1	2.214870E2	9.150542E2	6.686789E1	8.471947E1
1.800000E0	3.600000E3	-2.119250E1	-2.136115E1	3.009021E1	2.252271E2	9.118357E2	6.818330E1	8.617644E1
1.804000E0	3.608000E3	-1.983152E1	-2.263872E1	3.009652E1	2.287816E2	9.021953E2	6.954428E1	8.745401E1
1.808000E0	3.616000E3	-1.827420E1	-2.376782E1	2.998092E1	2.324446E2	8.974319E2	7.110160E1	8.858310E1
1.812000E0	3.624000E3	-1.672129E1	-2.475407E1	2.987249E1	2.359611E2	9.067298E2	7.265450E1	8.956936E1
1.816000E0	3.632000E3	-1.496964E1	-2.561591E1	2.966927E1	2.396985E2	9.587611E2	7.440615E1	9.043120E1
1.820000E0	3.640000E3	-1.313055E1	-2.648752E1	2.956349E1	2.436312E2	9.415747E2	7.624525E1	9.130280E1
