	mass_A
t	frame	x	y	r	θ	ω	pixelx	pixely
3.896000E0	7.792000E3	2.412986E1	-1.093000E1	2.648990E1	3.356311E2	1.458650E3	1.186012E2	7.635675E1
3.900000E0	7.800000E3	2.504991E1	-8.352848E0	2.640583E1	3.415591E2	1.482777E3	1.195212E2	7.377960E1
3.904000E0	7.808000E3	2.565894E1	-5.691590E0	2.628261E1	3.474933E2	1.470705E3	1.201303E2	7.111834E1
3.908000E0	7.816000E3	2.582128E1	-3.021989E0	2.599752E1	3.533248E2	1.483831E3	1.202926E2	6.844874E1
3.912000E0	7.824000E3	2.586212E1	-2.871068E-1	2.586372E1	3.593640E2	1.472200E3	1.203335E2	6.571386E1
3.916000E0	7.832000E3	2.554478E1	2.280874E0	2.564640E1	3.651024E2	1.461646E3	1.200161E2	6.314588E1
3.920000E0	7.840000E3	2.512881E1	4.910553E0	2.560411E1	3.710571E2	1.539722E3	1.196001E2	6.051620E1
3.924000E0	7.848000E3	2.457878E1	7.712014E0	2.576027E1	3.774201E2	1.548376E3	1.190501E2	5.771474E1
3.928000E0	7.856000E3	2.350981E1	1.019511E1	2.562521E1	3.834441E2	1.496120E3	1.179812E2	5.523164E1
3.932000E0	7.864000E3	2.237954E1	1.260462E1	2.568502E1	3.893891E2	1.516916E3	1.168509E2	5.282213E1
3.936000E0	7.872000E3	2.092279E1	1.496791E1	2.572550E1	3.955795E2	1.556675E3	1.153941E2	5.045884E1
3.940000E0	7.880000E3	1.920575E1	1.719757E1	2.578017E1	4.018425E2	1.526463E3	1.136771E2	4.822918E1
3.944000E0	7.888000E3	1.745042E1	1.923917E1	2.597427E1	4.077912E2	1.504928E3	1.119218E2	4.618758E1
3.948000E0	7.896000E3	1.541890E1	2.113058E1	2.615805E1	4.138819E2	1.503328E3	1.098902E2	4.429617E1
3.952000E0	7.904000E3	1.324584E1	2.277489E1	2.634669E1	4.198178E2	1.462215E3	1.077172E2	4.265186E1
3.956000E0	7.912000E3	1.094579E1	2.410709E1	2.647569E1	4.255796E2	1.494713E3	1.054171E2	4.131966E1
3.960000E0	7.920000E3	8.358053E0	2.538457E1	2.672515E1	4.317755E2	1.513305E3	1.028294E2	4.004218E1
3.964000E0	7.928000E3	5.732670E0	2.626175E1	2.688016E1	4.376861E2	1.486445E3	1.002040E2	3.916500E1
3.968000E0	7.936000E3	2.983579E0	2.688320E1	2.704826E1	4.436671E2	1.505053E3	9.745492E1	3.854355E1
3.972000E0	7.944000E3	1.308728E-1	2.741734E1	2.741765E1	4.497265E2	1.481339E3	9.460221E1	3.800941E1
3.976000E0	7.952000E3	-2.654187E0	2.747548E1	2.760339E1	4.555178E2	1.436166E3	9.181715E1	3.795127E1
3.980000E0	7.960000E3	-5.404635E0	2.725585E1	2.778654E1	4.612158E2	1.472520E3	8.906670E1	3.817090E1
3.984000E0	7.968000E3	-8.328007E0	2.674155E1	2.800833E1	4.672979E2	1.476826E3	8.614333E1	3.868520E1
3.988000E0	7.976000E3	-1.099883E1	2.587339E1	2.811417E1	4.730304E2	1.441392E3	8.347250E1	3.955336E1
3.992000E0	7.984000E3	-1.373497E1	2.495382E1	2.848408E1	4.788291E2	1.456217E3	8.073637E1	4.047293E1
3.996000E0	7.992000E3	-1.634685E1	2.362530E1	2.872933E1	4.846802E2	1.421532E3	7.812449E1	4.180145E1
4.000000E0	8.000000E3	-1.863921E1	2.205550E1	2.887672E1	4.902013E2	1.399557E3	7.583213E1	4.337126E1
4.004000E0	8.008000E3	-2.084461E1	2.021632E1	2.903786E1	4.958766E2	1.424531E3	7.362673E1	4.521043E1
4.008000E0	8.016000E3	-2.286223E1	1.812196E1	2.917339E1	5.015976E2	1.440752E3	7.160911E1	4.730479E1
4.012000E0	8.024000E3	-2.464651E1	1.576049E1	2.925480E1	5.074027E2	1.455088E3	6.982483E1	4.966626E1
4.016000E0	8.032000E3	-2.620642E1	1.321585E1	2.935021E1	5.132383E2	1.475781E3	6.826492E1	5.221090E1
4.020000E0	8.040000E3	-2.754451E1	1.045828E1	2.946312E1	5.192089E2	1.497962E3	6.692683E1	5.496847E1
4.024000E0	8.048000E3	-2.855772E1	7.533561E0	2.953469E1	5.252220E2	1.488885E3	6.591361E1	5.789319E1
4.028000E0	8.056000E3	-2.927586E1	4.574021E0	2.963103E1	5.311200E2	1.495327E3	6.519547E1	6.085273E1
4.032000E0	8.064000E3	-2.972505E1	1.461814E0	2.976098E1	5.371846E2	1.498937E3	6.474628E1	6.396494E1
4.036000E0	8.072000E3	-2.974082E1	-1.616678E0	2.978473E1	5.431115E2	1.483345E3	6.473052E1	6.704343E1
4.040000E0	8.080000E3	-2.949418E1	-4.698517E0	2.986608E1	5.490513E2	1.492623E3	6.497716E1	7.012527E1
4.044000E0	8.088000E3	-2.888924E1	-7.769202E0	2.991569E1	5.550525E2	1.499534E3	6.558210E1	7.319595E1
