	mass_A
t	frame	ω	x	y	r	θ	pixelx	pixely
1.824000E0	3.648000E3	1.463601E3	2.753212E1	5.251145E0	2.802841E1	7.307982E2	5.852849E1	6.973599E1
1.828000E0	3.656000E3	1.481563E3	2.694411E1	8.097637E0	2.813462E1	7.367273E2	5.911649E1	7.258249E1
1.832000E0	3.664000E3	1.476666E3	2.605037E1	1.087079E1	2.822758E1	7.426507E2	6.001023E1	7.535564E1
1.836000E0	3.672000E3	1.497180E3	2.460609E1	1.338264E1	2.800991E1	7.485407E2	6.145451E1	7.786749E1
1.840000E0	3.680000E3	1.551590E3	2.313599E1	1.597724E1	2.811665E1	7.546282E2	6.292462E1	8.046209E1
1.844000E0	3.688000E3	1.542446E3	2.129253E1	1.847892E1	2.819294E1	7.609534E2	6.476808E1	8.296377E1
1.848000E0	3.696000E3	1.528031E3	1.916600E1	2.052983E1	2.808575E1	7.669677E2	6.689460E1	8.501467E1
1.852000E0	3.704000E3	1.497628E3	1.678987E1	2.242523E1	2.801411E1	7.731776E2	6.927074E1	8.691007E1
1.856000E0	3.712000E3	1.535274E3	1.446812E1	2.403028E1	2.804961E1	7.789487E2	7.159249E1	8.851513E1
1.860000E0	3.720000E3	1.546999E3	1.168491E1	2.559263E1	2.813396E1	7.854598E2	7.437569E1	9.007748E1
