	mass_A
t	frame	x	y	r	ω	pixelx	pixely
6.630000E1	1.326000E5	5.072782E0	-2.606096E1	2.655008E1	1.416386E3	9.098361E1	9.108007E1
6.630200E1	1.326040E5	6.474072E0	-2.594367E1	2.673925E1	1.386930E3	9.238490E1	9.096278E1
6.630400E1	1.326080E5	7.651458E0	-2.572756E1	2.684124E1	1.291993E3	9.356229E1	9.074667E1
6.630600E1	1.326120E5	8.867259E0	-2.549253E1	2.699069E1	1.276893E3	9.477809E1	9.051164E1
6.630800E1	1.326160E5	9.899733E0	-2.491462E1	2.680939E1	1.302462E3	9.581056E1	8.993373E1
6.631000E1	1.326200E5	1.104537E1	-2.436132E1	2.674835E1	1.454208E3	9.695620E1	8.938043E1
6.631200E1	1.326240E5	1.234735E1	-2.373214E1	2.675203E1	1.458405E3	9.825818E1	8.875124E1
6.631400E1	1.326280E5	1.354190E1	-2.324579E1	2.690259E1	1.383771E3	9.945273E1	8.826489E1
6.631600E1	1.326320E5	1.460463E1	-2.247016E1	2.679931E1	1.390672E3	1.005155E2	8.748926E1
6.631800E1	1.326360E5	1.561666E1	-2.166439E1	2.670629E1	1.402711E3	1.015275E2	8.668350E1
6.632000E1	1.326400E5	1.658982E1	-2.075719E1	2.657222E1	1.336451E3	1.025006E2	8.577630E1
6.632200E1	1.326440E5	1.756554E1	-2.011338E1	2.670386E1	1.305920E3	1.034764E2	8.513249E1
6.632400E1	1.326480E5	1.849852E1	-1.925194E1	2.669892E1	1.403992E3	1.044093E2	8.427104E1
6.632600E1	1.326520E5	1.944610E1	-1.829465E1	2.669915E1	1.433425E3	1.053569E2	8.331376E1
6.632800E1	1.326560E5	2.033893E1	-1.731569E1	2.671152E1	1.448904E3	1.062498E2	8.233480E1
6.633000E1	1.326600E5	2.122077E1	-1.625790E1	2.673276E1	1.426670E3	1.071316E2	8.127701E1
6.633200E1	1.326640E5	2.204625E1	-1.526723E1	2.681651E1	1.421294E3	1.079571E2	8.028634E1
6.633400E1	1.326680E5	2.282695E1	-1.413770E1	2.685040E1	1.340001E3	1.087378E2	7.915680E1
6.633600E1	1.326720E5	2.335197E1	-1.312755E1	2.678894E1	1.252573E3	1.092628E2	7.814666E1
6.633800E1	1.326760E5	2.398325E1	-1.209453E1	2.686027E1	1.372200E3	1.098941E2	7.711364E1
6.634000E1	1.326800E5	2.464748E1	-1.089868E1	2.694958E1	1.335853E3	1.105583E2	7.591779E1
6.634200E1	1.326840E5	2.510183E1	-9.846389E0	2.696393E1	1.286399E3	1.110127E2	7.486550E1
6.634400E1	1.326880E5	2.553834E1	-8.648506E0	2.696300E1	1.466961E3	1.114492E2	7.366761E1
6.634600E1	1.326920E5	2.589047E1	-7.204467E0	2.687416E1	1.417363E3	1.118013E2	7.222358E1
